"","country_name","2016","2017","2015"
"1","Aruba",0,0,NA
"2","Angola",72.3300970873786,49.0566037735849,8
"3","Anguilla",0,NA,NA
"4","Albania",33.3333333333333,0,0
"5","Andorra",66.6666666666667,75,NA
"6","United Arab Emirates",80,93.75,NA
"7","Argentina",29.6610169491525,23.1707317073171,0
"8","Armenia",33.3333333333333,0,0
"9","American Samoa",NA,0,NA
"10","Antarctica",0,0,NA
"11","French Southern Territories",NA,0,NA
"12","Australia",30.5263157894737,23.444976076555,0
"13","Austria",18.037518037518,21.9409282700422,1.04166666666667
"14","Azerbaijan",62.5,57.1428571428571,0
"15","Burundi",0,NA,NA
"16","Belgium",22.1194280908326,20.1271186440678,10.0478468899522
"17","Benin",100,100,NA
"18","Burkina Faso",0,NA,NA
"19","Bangladesh",77.7777777777778,66.6666666666667,NA
"20","Bulgaria",23.9130434782609,4,0
"21","Bahrain",66.6666666666667,100,NA
"22","Bahamas",NA,0,NA
"23","Bosnia & Herzegovina",30,0,NA
"24","Belarus",50,50,0
"25","Bolivia",0,NA,NA
"26","Brazil",46.0117548278757,31.1085972850679,4.69798657718121
"27","Barbados",0,NA,NA
"28","Botswana",NA,NA,0
"29","Central African Republic",0,0,NA
"30","Switzerland",24.5535714285714,29.0184921763869,3.05343511450382
"31","Chile",34.0909090909091,7.14285714285714,0
"32","China",52.6770293609672,40.9448818897638,2.56410256410256
"33","Côte d’Ivoire",0,66.6666666666667,NA
"34","Cameroon",0,0,0
"35",NA,27.2584203287828,15.9699341021417,11.3389534442166
"36","Colombia",38.2352941176471,30.3030303030303,0
"37","Comoros",0,0,NA
"38","Cape Verde",68.75,16.6666666666667,0
"39","Costa Rica",12.5,0,0
"40","Cuba",0,0,NA
"41","Cayman Islands",NA,NA,0
"42","Cyprus",20.8333333333333,22.2222222222222,NA
"43","Czechia",26.0416666666667,25.531914893617,0
"44","Germany",18.8506316571712,16.4162696958593,1.7274472168906
"45","Djibouti",NA,0,NA
"46","Dominica",0,NA,NA
"47","Denmark",30.0970873786408,24.7368421052632,0
"48","Dominican Republic",33.3333333333333,77.7777777777778,0
"49","Algeria",29.4117647058824,22.2222222222222,0
"50","Ecuador",18.1818181818182,40,0
"51","Egypt",36,100,0
"52","Spain",30.9126119583636,29.9522673031026,7.64430577223089
"53","Estonia",19.2307692307692,28.5714285714286,0
"54","Ethiopia",NA,50,0
"55","Finland",20.3187250996016,11.7647058823529,0
"56","Fiji",NA,100,NA
"57","France",20.4256908140403,21.0777807273693,3.56037151702786
"58","Faroe Islands",100,75,NA
"59","Gabon",33.3333333333333,100,NA
"60","United Kingdom",22.9068197164078,20.1152975087503,8.82789317507418
"61","Georgia",81.8181818181818,60,0
"62","Guernsey",100,NA,NA
"63","Ghana",100,33.3333333333333,NA
"64","Gibraltar",62.5,100,0
"65","Guadeloupe",100,NA,NA
"66","Guinea-Bissau",0,100,NA
"67","Greece",37.5,28.2051282051282,0
"68","Guatemala",NA,0,NA
"69","Guyana",0,NA,NA
"70","Hong Kong SAR China",100,70,NA
"71","Honduras",100,NA,NA
"72","Croatia",26,28.5714285714286,0
"73","Hungary",44.9152542372881,26.0869565217391,0
"74","Indonesia",94.7368421052632,46.1538461538462,0
"75","Isle of Man",100,100,NA
"76","India",29.4871794871795,22.2222222222222,0
"77","Ireland",26.6917293233083,26.1941448382126,13.7214137214137
"78","Iran",28.5714285714286,34.4827586206897,8.33333333333333
"79","Iraq",0,0,0
"80","Iceland",13.0434782608696,2.94117647058824,NA
"81","Israel",40.5693950177936,20.3065134099617,1.5748031496063
"82","Italy",39.1513982642237,33.4752981260647,24.7104247104247
"83","Jamaica",0,0,NA
"84","Jersey",100,100,NA
"85","Jordan",16.6666666666667,22.2222222222222,0
"86","Japan",20.4081632653061,10.6666666666667,0
"87","Kazakhstan",30,33.3333333333333,0
"88","Kenya",50,25,NA
"89","Cambodia",100,NA,NA
"90","Kiribati",NA,0,NA
"91","St. Kitts & Nevis",NA,0,0
"92","South Korea",47.8260869565217,39.2156862745098,15.3846153846154
"93","Kuwait",33.3333333333333,50,0
"94","Laos",NA,0,NA
"95","Lebanon",36.3636363636364,38.4615384615385,0
"96","Libya",0,0,NA
"97","St. Lucia",0,NA,NA
"98","Liechtenstein",0,100,0
"99","Sri Lanka",0,0,0
"100","Lithuania",7.31707317073171,16,0
"101","Luxembourg",45.2554744525547,38.8429752066116,0
"102","Latvia",18.5185185185185,26.6666666666667,0
"103","Macao SAR China",100,92.3076923076923,NA
"104","Morocco",43.0656934306569,49.0196078431373,0
"105","Monaco",50,0,NA
"106","Madagascar",NA,0,NA
"107","Maldives",83.3333333333333,66.6666666666667,NA
"108","Mexico",21.2121212121212,8.57142857142857,0
"109","North Macedonia",22.2222222222222,NA,0
"110","Mali",0,NA,NA
